product_url,product_code,total_sellers_qnt,seller_name,price_kzt,ratings_qnt,review_date_oldest,review_date_latest
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/,132568392,5,CosMarket,54000,13,20-02-2025,02-09-2025
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/,132568392,5,Amavi,54100,13,20-02-2025,02-09-2025
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/,132568392,5,ПАРФЮМ.KZ,79595,13,20-02-2025,02-09-2025
https://kaspi.kz/shop/p/milton-lloyd-colour-me-white-silver-black-parfjumernyi-nabor-50-ml-dlja-muzhchin-134447078/,134447078,1,MiniM-kz,19990,19,09-02-2025,28-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,Forever Yоung,16375,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,PrimeStore.KZ,16376,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,All_Goods,16390,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,Beauty Market KZ,16400,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,Aroma Secret,16666,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,Love in Paris,16666,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,Perfume BAR,17000,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,Sahina.kz,17000,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,Elite Perfume,17000,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,MonAmie,17095,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,Amavi,25370,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,Французский Дом,25380,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,ALLA PARFUMS,31794,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/,17301397,14,ПАРФЮМ.KZ,38495,357,19-03-2019,30-09-2025
https://kaspi.kz/shop/p/manzar-l-immensite-ekstrakt-duhov-extrait-de-parfum-35-ml-dlja-muzhchin-132205381/,132205381,1,ИП БИНАЗАРОВА,29990,12,20-01-2025,01-08-2025
https://kaspi.kz/shop/p/jean-paul-gaultier-la-belle-parfjumernaja-voda-edp-30-ml-dlja-zhenschin-142800645/,142800645,1,CosMarket,37899,4,05-08-2025,30-08-2025
https://kaspi.kz/shop/p/gamma-d-oro-su-152-parfjumernaja-voda-edp-50-ml-uniseks-115951158/,115951158,3,ТОО GAMMA D ORO,12900,44,10-04-2024,10-09-2025
https://kaspi.kz/shop/p/gamma-d-oro-su-152-parfjumernaja-voda-edp-50-ml-uniseks-115951158/,115951158,3,Gamma D ORO,12900,44,10-04-2024,10-09-2025
https://kaspi.kz/shop/p/gamma-d-oro-su-152-parfjumernaja-voda-edp-50-ml-uniseks-115951158/,115951158,3,Beauty_shop_Astina,12900,44,10-04-2024,10-09-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Forever Yоung,26392,982,07-10-2019,04-10-2025
