product_url,product_code,total_sellers_qnt,seller_name,price_kzt
https://kaspi.kz/shop/p/valentino-born-in-roma-uomo-parfjumernyi-nabor-100-ml-dlja-muzhchin-129986545/?c=710000000,129986545,1,CosMarket,59999
https://kaspi.kz/shop/p/giorgio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-101321619/?c=710000000,101321619,9,Aura parfum,45762
https://kaspi.kz/shop/p/giorgio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-101321619/?c=710000000,101321619,9,Vellor PARFUM,45766
https://kaspi.kz/shop/p/giorgio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-101321619/?c=710000000,101321619,9,AIMATO-Официальный магазин,45767
https://kaspi.kz/shop/p/giorgio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-101321619/?c=710000000,101321619,9,ZARINA BEAUTY,45768
https://kaspi.kz/shop/p/giorgio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-101321619/?c=710000000,101321619,9,RN Perfume,45777
https://kaspi.kz/shop/p/giorgio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-101321619/?c=710000000,101321619,9,Amavi,87700
https://kaspi.kz/shop/p/giorgio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-101321619/?c=710000000,101321619,9,Estual,60930
https://kaspi.kz/shop/p/giorgio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-101321619/?c=710000000,101321619,9,ELISSIA,100000
https://kaspi.kz/shop/p/giorgio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-101321619/?c=710000000,101321619,9,MonAmie,61530
https://kaspi.kz/shop/p/flower-knows-strawberry-milk-shake-duhi-parfum-50-ml-dlja-zhenschin-134046452/?c=710000000,134046452,1,Soul Beauty,35000
https://kaspi.kz/shop/p/paco-rabanne-ultraviolet-parfjumernaja-voda-edp-80-ml-17300851/?c=710000000,17300851,4,PrimeStore.KZ,33417
https://kaspi.kz/shop/p/paco-rabanne-ultraviolet-parfjumernaja-voda-edp-80-ml-17300851/?c=710000000,17300851,4,Elegance Fragrance,33418
https://kaspi.kz/shop/p/paco-rabanne-ultraviolet-parfjumernaja-voda-edp-80-ml-17300851/?c=710000000,17300851,4,ПАРФЮМ.KZ,40495
https://kaspi.kz/shop/p/paco-rabanne-ultraviolet-parfjumernaja-voda-edp-80-ml-17300851/?c=710000000,17300851,4,Estual,46349
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,8,ZARINA BEAUTY,28103
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,8,ИП PERFUME ART,28103
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,8,Vellor PARFUM,28104
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,8,ELVIN Perfume,28113
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,8,BROWN,28115
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,8,Amavi,72000
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,8,Beauty Market KZ,36000
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,8,MonAmie,50400
https://kaspi.kz/shop/p/bvlgari-aqva-marine-tualetnaja-voda-edt-50-ml-dlja-muzhchin-17300773/?c=710000000,17300773,3,APG техникс,67108
https://kaspi.kz/shop/p/bvlgari-aqva-marine-tualetnaja-voda-edt-50-ml-dlja-muzhchin-17300773/?c=710000000,17300773,3,Shоp_kz,67109
https://kaspi.kz/shop/p/bvlgari-aqva-marine-tualetnaja-voda-edt-50-ml-dlja-muzhchin-17300773/?c=710000000,17300773,3,Estual,67153
https://kaspi.kz/shop/p/hermes-barenia-parfjumernaja-voda-edp-60-ml-dlja-zhenschin-132615285/?c=710000000,132615285,5,Perfume BAR,64990
https://kaspi.kz/shop/p/hermes-barenia-parfjumernaja-voda-edp-60-ml-dlja-zhenschin-132615285/?c=710000000,132615285,5,Sahina.kz,64990
https://kaspi.kz/shop/p/hermes-barenia-parfjumernaja-voda-edp-60-ml-dlja-zhenschin-132615285/?c=710000000,132615285,5,Amavi,75900
https://kaspi.kz/shop/p/hermes-barenia-parfjumernaja-voda-edp-60-ml-dlja-zhenschin-132615285/?c=710000000,132615285,5,YOUNIQUE by Amavi,75900
https://kaspi.kz/shop/p/hermes-barenia-parfjumernaja-voda-edp-60-ml-dlja-zhenschin-132615285/?c=710000000,132615285,5,ПАРФЮМ.KZ,101295
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,Perfume shop,33419
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,PARFUM-KZ - Официальный Магазин,33420
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,MIM Cosmetics,34995
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,Aroma Secret,34999
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,Love in Paris,34999
https://kaspi.kz/shop/p/manzar-tygar-le-gemme-ekstrakt-duhov-extrait-de-parfum-35-ml-dlja-muzhchin-130258646/?c=710000000,130258646,1,ИП БИНАЗАРОВА,25990
https://kaspi.kz/shop/p/tiziana-terenzi-kirke-parfjumernaja-voda-edp-100-ml-uniseks-17301541/?c=710000000,17301541,5,Forever Yоung,56980
https://kaspi.kz/shop/p/tiziana-terenzi-kirke-parfjumernaja-voda-edp-100-ml-uniseks-17301541/?c=710000000,17301541,5,Volume beauty,56981
https://kaspi.kz/shop/p/tiziana-terenzi-kirke-parfjumernaja-voda-edp-100-ml-uniseks-17301541/?c=710000000,17301541,5,DELINA shop,57240
https://kaspi.kz/shop/p/tiziana-terenzi-kirke-parfjumernaja-voda-edp-100-ml-uniseks-17301541/?c=710000000,17301541,5,ITELL-KZ,58291
https://kaspi.kz/shop/p/tiziana-terenzi-kirke-parfjumernaja-voda-edp-100-ml-uniseks-17301541/?c=710000000,17301541,5,Aroma Secret,62333
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,Multibrands_kz,48451
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,AROMELIA,48454
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,INO,48456
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,ZARINA BEAUTY,48456
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,YOUNGSTAR PERFUMERY,48464
https://kaspi.kz/shop/p/chloe-chloe-atelier-des-fleurs-cedrus-parfjumernaja-voda-edp-50-ml-uniseks-130805479/?c=710000000,130805479,6,Sulu KZ,110000
https://kaspi.kz/shop/p/chloe-chloe-atelier-des-fleurs-cedrus-parfjumernaja-voda-edp-50-ml-uniseks-130805479/?c=710000000,130805479,6,Love in Paris,61624
https://kaspi.kz/shop/p/chloe-chloe-atelier-des-fleurs-cedrus-parfjumernaja-voda-edp-50-ml-uniseks-130805479/?c=710000000,130805479,6,My Way,61386
https://kaspi.kz/shop/p/chloe-chloe-atelier-des-fleurs-cedrus-parfjumernaja-voda-edp-50-ml-uniseks-130805479/?c=710000000,130805479,6,ELISSIA,61384
https://kaspi.kz/shop/p/chloe-chloe-atelier-des-fleurs-cedrus-parfjumernaja-voda-edp-50-ml-uniseks-130805479/?c=710000000,130805479,6,MIM Cosmetics,61965
https://kaspi.kz/shop/p/chloe-chloe-atelier-des-fleurs-cedrus-parfjumernaja-voda-edp-50-ml-uniseks-130805479/?c=710000000,130805479,6,Estual,74404
