sku_id,reason,ksp_sku_id,occurrences,total_qty,example_sku_key,example_my_size,example_store_name,has_ksp_id
CL_NEW_CLO_MEN_LEG_WHITE_3XL,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_L 50_(XL),1,0.0,CL_NEW_CLO_MEN_LEG_WHITE,3XL,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_WHITE_M,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_(M),1,0.0,CL_NEW_CLO_MEN_LEG_WHITE,M,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_WHITE_M,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_M 48_(L),1,0.0,CL_NEW_CLO_MEN_LEG_WHITE,M,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_WHITE_M,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_XL 52_(2XL),1,0.0,CL_NEW_CLO_MEN_LEG_WHITE,M,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_WHITE_S,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_(M),1,0.0,CL_NEW_CLO_MEN_LEG_WHITE,S,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_WHITE_XL,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_XL 52_(2XL),1,0.0,CL_NEW_CLO_MEN_LEG_WHITE,XL,ONLYFIT,True
CL_NEW_CLO_MEN_RUSH_PRO_BLACK_L,not_in_map,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L 48-50_(XL),1,0.0,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,L,ONLYFIT,True
CL_NEW_CLO_MEN_RUSH_PRO_BLACK_M,not_in_map,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_S 44-46_(M),1,0.0,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,M,ONLYFIT,True
CL_NEW_CLO_MEN_RUSH_PRO_BLACK_XL,not_in_map,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_M 46-48_(L),1,0.0,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,XL,ONLYFIT,True
CL_NEW_CLO_MEN_TAICI_BLACK_M,not_in_map,CL_NEW-CLO_MEN_TAICI_BLACK_S 44-46_(M),1,0.0,CL_NEW_CLO_MEN_TAICI_BLACK,M,ONLYFIT,True
CL_NEW_CLO_MEN_T_SHIRT_BLACK_3XL,not_in_map,CL_NEW-CLO_MEN_T-SHIRT_BLACK_54/3XL_(3XL),1,0.0,CL_NEW_CLO_MEN_T_SHIRT_BLACK,3XL,ONLYFIT,True
CL_NEW_CLO_MEN_T_SHIRT_BLACK_M,not_in_map,CL_NEW-CLO_MEN_T-SHIRT_BLACK_44/S_(S),1,0.0,CL_NEW_CLO_MEN_T_SHIRT_BLACK,M,ONLYFIT,True
CL_NEW_CLO_MEN_T_SHIRT_BLACK_M,not_in_map,CL_NEW-CLO_MEN_T-SHIRT_BLACK_44_(M),1,0.0,CL_NEW_CLO_MEN_T_SHIRT_BLACK,M,ONLYFIT,True
CL_NEW_CLO_MEN_T_SHIRT_BLACK_XL,not_in_map,CL_NEW-CLO_MEN_T-SHIRT_BLACK_52/2XL_(2XL),1,0.0,CL_NEW_CLO_MEN_T_SHIRT_BLACK,XL,ONLYFIT,True
ESDY_ЧЕРНЫЙ_L,not_in_map,117427594_083791036,1,0.0,ESDY_ЧЕРНЫЙ,L,UNIVERSAL,True
ESDY_ЧЕРНЫЙ_XL,not_in_map,117427594_083791036,1,0.0,ESDY_ЧЕРНЫЙ,XL,UNIVERSAL,True
