old_sku_key,new_sku_key,old_my_size,new_my_size,old_sku_id,new_sku_id
CL_NEW-CLO_MEN_LEG_BLACK,CL_NEW_CLO_MEN_LEG_BLACK,L,L,CL_NEW-CLO_MEN_LEG_BLACK_L,CL_NEW_CLO_MEN_LEG_BLACK_L
CL_NEW-CLO_MEN_LEG_BLACK,CL_NEW_CLO_MEN_LEG_BLACK,2XL,2XL,CL_NEW-CLO_MEN_LEG_BLACK_2XL,CL_NEW_CLO_MEN_LEG_BLACK_2XL
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,XL,XL,CL_NEW-CLO_MEN_LEG_WHITE_XL,CL_NEW_CLO_MEN_LEG_WHITE_XL
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,XL,XL,CL_NEW-CLO_MEN_LEG_WHITE_XL,CL_NEW_CLO_MEN_LEG_WHITE_XL
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,L,L,CL_NEW-CLO_MEN_LEG_WHITE_L,CL_NEW_CLO_MEN_LEG_WHITE_L
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,2XL,2XL,CL_NEW-CLO_MEN_LEG_WHITE_2XL,CL_NEW_CLO_MEN_LEG_WHITE_2XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,XL,XL,CL_OC_MEN_PRINT51_BLACK_XL,CL_OC_MEN_PRINT51_BLACK_XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,4XL,4XL,CL_OC_MEN_PRINT51_BLACK_4XL,CL_OC_MEN_PRINT51_BLACK_4XL
,BELI51,XL,XL,nan_XL,BELI51_XL
,BELI51,XL,XL,nan_XL,BELI51_XL
,BELI51,3XL,3XL,nan_3XL,BELI51_3XL
,BELI51,3XL,3XL,nan_3XL,BELI51_3XL
,BELI51,3XL,3XL,nan_3XL,BELI51_3XL
CL_NEW-CLO_MEN_T-SHIRT_BLACK,CL_NEW_CLO_MEN_T_SHIRT_BLACK,XL,XL,CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL,CL_NEW_CLO_MEN_T_SHIRT_BLACK_XL
CL_NEW-CLO_MEN_T-SHIRT_BLACK,CL_NEW_CLO_MEN_T_SHIRT_BLACK,XL,XL,CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL,CL_NEW_CLO_MEN_T_SHIRT_BLACK_XL
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,M,M,CL_NEW-CLO_MEN_TAICI_BLACK_M,CL_NEW_CLO_MEN_TAICI_BLACK_M
