sku_id,sku_key,my_size,stock_before,stock_10.8.25,sales_start_date,sold _since_start,kaspi_name_core,recommended_retail_price,product_type,sub_category,brend,model,color,gender,season,basecost_cny,weight_kg,vendor_id,store_name
CL_NEW-CLO_MEN_LEG_BLACK_2XL,CL_NEW-CLO_MEN_LEG_BLACK,2XL,40,0,2025-07-30,,Леггинсы черные,0,CL,,New-Clo,LEG,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_BLACK_3XL,CL_NEW-CLO_MEN_LEG_BLACK,3XL,32,0,2025-07-30,,Леггинсы черные,0,CL,,New-Clo,LEG,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_TAICI_BLACK_S,CL_NEW-CLO_MEN_TAICI_BLACK,S,2,0,2025-07-30,,Тайтсы черные,0,CL,,New-Clo,TAICI,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_TAICI_BLACK_M,CL_NEW-CLO_MEN_TAICI_BLACK,M,10,0,2025-07-30,,Тайтсы черные,0,CL,,New-Clo,TAICI,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_TAICI_BLACK_L,CL_NEW-CLO_MEN_TAICI_BLACK,L,16,0,2025-07-30,,Тайтсы черные,0,CL,,New-Clo,TAICI,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_TAICI_BLACK_XL,CL_NEW-CLO_MEN_TAICI_BLACK,XL,27,0,2025-07-30,,Тайтсы черные,0,CL,,New-Clo,TAICI,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_TAICI_BLACK_2XL,CL_NEW-CLO_MEN_TAICI_BLACK,2XL,23,0,2025-07-30,,Тайтсы черные,0,CL,,New-Clo,TAICI,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_TAICI_BLACK_3XL,CL_NEW-CLO_MEN_TAICI_BLACK,3XL,18,0,2025-07-30,,Тайтсы черные,0,CL,,New-Clo,TAICI,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_WHITE_S,CL_NEW-CLO_MEN_LEG_WHITE,S,10,0,2025-07-30,,Леггинсы белый,0,CL,,New-Clo,LEG,White,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_WHITE_M,CL_NEW-CLO_MEN_LEG_WHITE,M,43,0,2025-07-30,,Леггинсы белый,0,CL,,New-Clo,LEG,White,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_WHITE_L,CL_NEW-CLO_MEN_LEG_WHITE,L,68,0,2025-07-30,,Леггинсы белый,0,CL,,New-Clo,LEG,White,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_WHITE_XL,CL_NEW-CLO_MEN_LEG_WHITE,XL,116,0,2025-07-30,,Леггинсы белый,0,CL,,New-Clo,LEG,White,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_WHITE_2XL,CL_NEW-CLO_MEN_LEG_WHITE,2XL,96,0,2025-07-30,,Леггинсы белый,0,CL,,New-Clo,LEG,White,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_WHITE_3XL,CL_NEW-CLO_MEN_LEG_WHITE,3XL,77,0,2025-07-30,,Леггинсы белый,0,CL,,New-Clo,LEG,White,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_OC_MEN_PRINT51_BLACK_S,CL_OC_MEN_PRINT51_BLACK,S,20,0,2025-08-08,,Принт 5в1  черный,11990,CL,,OC,Print51,Black,Men,All,47.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_PRINT51_BLACK_M,CL_OC_MEN_PRINT51_BLACK,M,60,0,2025-08-08,,Принт 5в1  черный,11990,CL,,OC,Print51,Black,Men,All,47.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK,L,120,0,2025-08-08,,Принт 5в1  черный,11990,CL,,OC,Print51,Black,Men,All,47.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_PRINT51_BLACK_XL,CL_OC_MEN_PRINT51_BLACK,XL,270,0,2025-08-08,,Принт 5в1  черный,11990,CL,,OC,Print51,Black,Men,All,47.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_PRINT51_BLACK_2XL,CL_OC_MEN_PRINT51_BLACK,2XL,170,0,2025-08-08,,Принт 5в1  черный,11990,CL,,OC,Print51,Black,Men,All,47.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_PRINT51_BLACK_3XL,CL_OC_MEN_PRINT51_BLACK,3XL,150,0,2025-08-08,,Принт 5в1  черный,11990,CL,,OC,Print51,Black,Men,All,47.0,0.95,SHR,UNIVERSAL
CL_OC_MEN_PRINT51_BLACK_4XL,CL_OC_MEN_PRINT51_BLACK,4XL,110,0,2025-08-08,,Принт 5в1  черный,11990,CL,,OC,Print51,Black,Men,All,47.0,0.95,SHR,UNIVERSAL
